id,title,genre,platform,score,release_date,monthly_clicks,description
game_0001,Adopt Me!,Simulation,Mobile,0.61,2024-01-12,181,"Adopt Me! is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0002,Welcome to Bloxburg,Simulation,PC,0.564,2021-10-20,4689,"Welcome to Bloxburg is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0003,Pet Simulator X,Simulation,PC,0.858,2024-04-21,173,"Pet Simulator X is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0004,Bee Swarm Simulator,Simulation,Mobile,0.898,2023-06-01,734,"Bee Swarm Simulator is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0005,Lumber Tycoon 2,Tycoon,PC,0.669,2022-09-20,17691,Lumber Tycoon 2 is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0006,Restaurant Tycoon 2,Tycoon,PC,0.592,2022-04-10,2454,Restaurant Tycoon 2 is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0007,Theme Park Tycoon 2,Tycoon,Xbox,0.781,2021-05-20,4799,Theme Park Tycoon 2 is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0008,Miner's Haven,Tycoon,PlayStation,0.798,2022-06-24,520,Miner's Haven is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0009,Cruise Ship Tycoon,Tycoon,Mobile,0.974,2023-04-16,218,Cruise Ship Tycoon is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0010,Wizard Tycoon 2,Tycoon,Xbox,0.823,2021-06-13,5557,Wizard Tycoon 2 is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0011,Blox Fruits,Adventure,PC,0.852,2023-07-17,698,"Blox Fruits is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0012,Jailbreak,Adventure,Mobile,0.713,2021-05-08,1241,"Jailbreak is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0013,Dungeon Quest,Adventure,PlayStation,0.912,2022-11-24,2610,"Dungeon Quest is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0014,The Wild West,Adventure,Xbox,0.943,2024-03-02,549,"The Wild West is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0015,Dragon Adventures,Adventure,Mobile,0.72,2020-12-08,2344,"Dragon Adventures is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0016,Islands,Adventure,Xbox,0.87,2023-10-08,940,"Islands is an open-world adventure packed with quests, treasures, and exploration on Roblox."
